query_id,category,query,rank,passage_id,source_path,heading,text_snippet,expected_source_paths,pre_labeled_relevant,relevant
nl-01,natural-language,how do I run code at application startup and shutdown,1,67cd61e2c921784183904e2e9b5dd211735ad8f64ad913dc10a96ab1a3ed73a4,advanced/testing-events.md#testing-events-startup-shutdown,Testing Events: startup - shutdown,"When you need your event handlers (`startup` and `shutdown`) to run in your tests, you can use the `TestClient` with a `with` statement:  {* ../../docs_src/app_testing/tutorial003.py hl[9:12,20:24] *}",advanced/events.md,1,1
nl-01,natural-language,how do I run code at application startup and shutdown,2,07facbebce7e25b3d38a17a51a29a288bc2c88182b3a1b77993ac5b674e24daa,advanced/events.md#sub-applications,Lifespan Events,"🚨 Keep in mind that these lifespan events (startup and shutdown) will only be executed for the main application, not for [Sub Applications - Mounts](sub-applications.md){.internal-link target=_blank}.",advanced/events.md,1,1
nl-01,natural-language,how do I run code at application startup and shutdown,3,200eaf12fa5863cd2b4910ad591080278cb64b2876457ca6f0bf9ed44ee30c37,advanced/events.md#alternative-events-deprecated,Lifespan Events,"/// warning  The recommended way to handle the *startup* and *shutdown* is using the `lifespan` parameter of the `FastAPI` app as described above. If you provide a `lifespan` parameter, `startup` and `shutdown` event handlers will no longer be called. It's all `lifespan` or all events, not both.  Yo",advanced/events.md,1,1
nl-01,natural-language,how do I run code at application startup and shutdown,4,ec065c84e15d8b37fd24528e9004e31bf5f02fd8c26f131fb49a1237eb5cdc11,advanced/events.md#lifespan,Lifespan Events,"You can define this *startup* and *shutdown* logic using the `lifespan` parameter of the `FastAPI` app, and a ""context manager"" (I'll show you what that is in a second).  Let's start with an example and then see it in detail.  We create an async function `lifespan()` with `yield` like this:  {* ../.",advanced/events.md,1,1
nl-01,natural-language,how do I run code at application startup and shutdown,5,504a5acdfab81ff5ca58ade32e20b9e3b7dbde5a30246b9d074fa35a6cb1a623,deployment/concepts.md#example-tools-to-run-at-startup,Deployments Concepts,Some examples of the tools that can do this job are:  * Docker * Kubernetes * Docker Compose * Docker in Swarm Mode * Systemd * Supervisor * Handled internally by a cloud provider as part of their services * Others...  I'll give you more concrete examples in the next chapters.,advanced/events.md,,
nl-02,natural-language,how do I add CORS support to my FastAPI app,1,32f4d6305183799b1d2a8c8e79170316709d5bb5f48efc760720b0ae5175bc11,virtual-environments.md#create-a-project,Virtual Environments,"First, create a directory for your project.  What I normally do is that I create a directory named `code` inside my home/user directory.  And inside of that I create one directory per project.  <div class=""termy"">  ```console // Go to the home directory $ cd // Create a directory for all your code p",tutorial/cors.md,,
nl-02,natural-language,how do I add CORS support to my FastAPI app,2,e10f53659d642f317049abec80d7a2a0e259f0b40d2e94c8df3ced255e563ecd,advanced/middleware.md#advanced-middleware,Advanced Middleware,In the main tutorial you read how to add [Custom Middleware](../tutorial/middleware.md){.internal-link target=_blank} to your application.  And then you also read how to handle [CORS with the `CORSMiddleware`](../tutorial/cors.md){.internal-link target=_blank}.  In this section we'll see how to use ,tutorial/cors.md,,
nl-02,natural-language,how do I add CORS support to my FastAPI app,3,78da0ee6812e9fbb6c60b990fb6d7c0ad78a8e930d53d1ec6aeb6495d1c93b22,alternatives.md#a-href-https-github-com-encode-apistar-class-external-link-target-blank-apistar-a-0-5,"Alternatives, Inspiration and Comparisons","I was never able to use it in a full project, as it didn't have security integration, so, I couldn't replace all the features I was having with the full-stack generators based on Flask-apispec. I had in my backlog of projects to create a pull request adding that functionality.  But then, the project",tutorial/cors.md,,
nl-02,natural-language,how do I add CORS support to my FastAPI app,4,dd2aa9618ed9845ab00f4a59479aa8236b8ed0f0ab03d18c21cdce491ceadac2,help-fastapi.md#check-the-code,Help FastAPI - Get Help,"* Check and read the code, see if it makes sense, **run it locally** and see if it actually solves the problem.  * Then **comment** saying that you did that, that's how I will know you really checked it.  /// info  Unfortunately, I can't simply trust PRs that just have several approvals.  Several ti",tutorial/cors.md,,
nl-02,natural-language,how do I add CORS support to my FastAPI app,5,a112e5497876c3ff9290f68235a85359f03fb50a28136c76640400ca295fb5ff,advanced/dataclasses.md#using-dataclasses,Using Dataclasses,"FastAPI is built on top of **Pydantic**, and I have been showing you how to use Pydantic models to declare requests and responses.  But FastAPI also supports using <a href=""https://docs.python.org/3/library/dataclasses.html"" class=""external-link"" target=""_blank"">`dataclasses`</a> the same way:  {* .",tutorial/cors.md,,
